,country,continent,year,life_expectancy,population,gdp_per_capita
856,Gabon,Africa,1997-01-01,60.461,1126189,14722.84188
857,Mauritania,Africa,1997-01-01,60.43,2444741,1483.136136
858,Iraq,Asia,1977-01-01,60.413,11882916,14688.23507
859,Thailand,Asia,1972-01-01,60.405,39276153,1524.358936
860,Singapore,Asia,1952-01-01,60.396,1127000,2315.138227
861,Zimbabwe,Africa,1992-01-01,60.377,10704340,693.4207856
862,Zimbabwe,Africa,1982-01-01,60.363,7636524,788.8550411
863,Sao Tome and Principe,Africa,1982-01-01,60.351,98593,1890.218117
864,Myanmar,Asia,1997-01-01,60.328,43247867,415
865,"Yemen, Rep.",Asia,2002-01-01,60.308,18701257,2234.820827
866,Mauritius,Africa,1962-01-01,60.246,701016,2529.067487
867,South Africa,Africa,1997-01-01,60.236,42835005,7479.188244
868,India,Asia,1992-01-01,60.223,872000000,1164.406809
869,Mongolia,Asia,1987-01-01,60.222,2015133,2338.008304
870,Gabon,Africa,1987-01-01,60.19,880397,11864.40844
871,Senegal,Africa,1997-01-01,60.187,9535314,1392.368347
872,Indonesia,Asia,1987-01-01,60.137,169276000,1748.356961
873,Mexico,Americas,1967-01-01,60.11,47995559,5754.733883
874,Philippines,Asia,1977-01-01,60.06,46850962,2373.204287
875,Costa Rica,Americas,1957-01-01,60.026,1112300,2990.010802
876,Ghana,Africa,2007-01-01,60.022,22873338,1327.60891
877,Colombia,Americas,1967-01-01,59.963,19764027,2678.729839
878,Bolivia,Americas,1992-01-01,59.957,6893451,2961.699694
879,"Korea, Dem. Rep.",Asia,1967-01-01,59.942,12617009,2143.540609
880,Bahrain,Asia,1967-01-01,59.923,202182,14804.6727
881,Myanmar,Asia,2002-01-01,59.908,45598081,611
882,Tunisia,Africa,1977-01-01,59.837,6005061,3120.876811
883,Portugal,Europe,1952-01-01,59.82,8526050,3068.319867
884,Egypt,Africa,1987-01-01,59.797,52799062,3885.46071
885,Cambodia,Asia,2007-01-01,59.723,14131858,1713.778686
886,Lesotho,Africa,1992-01-01,59.685,1803195,977.4862725
887,Morocco,Africa,1982-01-01,59.65,20198730,2702.620356
888,Dominican Republic,Americas,1972-01-01,59.631,4671329,2189.874499
889,Iran,Asia,1982-01-01,59.62,43072751,7608.334602
890,Bulgaria,Europe,1952-01-01,59.6,7274900,2444.286648
891,Iraq,Asia,2007-01-01,59.545,27499638,4471.061906
892,Turkey,Europe,1977-01-01,59.507,42404033,4269.122326
893,Brazil,Americas,1972-01-01,59.504,100840058,4985.711467
894,Lebanon,Asia,1957-01-01,59.489,1647412,6089.786934
895,Iraq,Asia,1992-01-01,59.461,17861905,3745.640687
896,Gambia,Africa,2007-01-01,59.448,1688359,752.7497265
897,Madagascar,Africa,2007-01-01,59.443,19167654,1044.770126
898,Nepal,Asia,1997-01-01,59.426,23001113,1010.892138
899,Cuba,Americas,1952-01-01,59.421,6007797,5586.53878
900,Bangladesh,Asia,1997-01-01,59.412,123315288,972.7700352
901,Malaysia,Asia,1967-01-01,59.371,10154878,2277.742396
902,Kenya,Africa,1987-01-01,59.339,21198082,1361.936856
903,Myanmar,Asia,1992-01-01,59.32,40546538,347
904,Botswana,Africa,1977-01-01,59.319,781472,3214.857818
905,Nicaragua,Americas,1982-01-01,59.298,2979423,3470.338156
906,Kenya,Africa,1992-01-01,59.285,25020539,1341.921721
907,Albania,Europe,1957-01-01,59.28,1476505,1942.284244
908,Panama,Americas,1957-01-01,59.201,1063506,2961.800905
909,Montenegro,Europe,1952-01-01,59.164,413834,2647.585601
910,Trinidad and Tobago,Americas,1952-01-01,59.1,662850,3023.271928
911,Namibia,Africa,1982-01-01,58.968,1099010,4191.100511
912,Namibia,Africa,1997-01-01,58.909,1774766,3899.52426
913,Vietnam,Asia,1982-01-01,58.816,56142181,707.2357863
914,Iraq,Asia,1997-01-01,58.811,20775703,3076.239795
915,Ecuador,Americas,1972-01-01,58.796,6298651,5280.99471
916,Kenya,Africa,1982-01-01,58.766,17661452,1348.225791
917,Saudi Arabia,Asia,1977-01-01,58.69,8128505,34167.7626
918,Sudan,Africa,2007-01-01,58.556,42292929,2602.394995
919,Ghana,Africa,1997-01-01,58.556,18418288,1005.245812
920,India,Asia,1987-01-01,58.553,788000000,976.5126756
921,Sao Tome and Principe,Africa,1977-01-01,58.55,86796,1737.561657
922,Jamaica,Americas,1952-01-01,58.53,1426095,2898.530881
923,Taiwan,Asia,1952-01-01,58.5,8550362,1206.947913
924,Swaziland,Africa,1992-01-01,58.474,962344,3553.0224
925,Ghana,Africa,2002-01-01,58.453,20550751,1111.984578
926,Bosnia and Herzegovina,Europe,1957-01-01,58.45,3076000,1353.989176
927,Peru,Americas,1977-01-01,58.447,15990099,6281.290855
928,Togo,Africa,2007-01-01,58.42,5701579,882.9699438
929,Togo,Africa,1997-01-01,58.39,4320890,982.2869243
930,China,Asia,1967-01-01,58.38112,754550000,612.7056934
931,Myanmar,Asia,1987-01-01,58.339,38028578,385
932,Mauritania,Africa,1992-01-01,58.333,2119465,1361.369784
933,Mexico,Americas,1962-01-01,58.299,41121485,4581.609385
934,Thailand,Asia,1967-01-01,58.285,34024249,1295.46066
935,Pakistan,Asia,1987-01-01,58.245,105186881,1704.686583
936,El Salvador,Americas,1972-01-01,58.207,3790903,4520.246008
937,Senegal,Africa,1992-01-01,58.196,8307920,1367.899369
938,South Africa,Africa,1982-01-01,58.161,31140029,8568.266228
939,Haiti,Americas,2002-01-01,58.137,7607651,1270.364932
940,Guatemala,Americas,1982-01-01,58.137,6395630,4820.49479
941,Mauritius,Africa,1957-01-01,58.089,609816,2034.037981
942,Philippines,Asia,1972-01-01,58.065,40850141,1989.37407
943,Togo,Africa,1992-01-01,58.061,3747553,1034.298904
944,Myanmar,Asia,1982-01-01,58.056,34680442,424
945,Gambia,Africa,2002-01-01,58.041,1457766,660.5855997
946,Eritrea,Africa,2007-01-01,58.04,4906585,641.3695236
947,Kuwait,Asia,1957-01-01,58.033,212846,113523.1329
948,"Yemen, Rep.",Asia,1997-01-01,58.02,15826497,2117.484526
949,Algeria,Africa,1977-01-01,58.014,17152804,4910.416756
950,Serbia,Europe,1952-01-01,57.996,6860147,3581.459448
951,Comoros,Africa,1992-01-01,57.939,454429,1246.90737
952,Chile,Americas,1962-01-01,57.924,7961258,4519.094331
953,Venezuela,Americas,1957-01-01,57.907,6702668,9802.466526
954,Colombia,Americas,1962-01-01,57.863,17009885,2492.351109
955,"Korea, Rep.",Asia,1967-01-01,57.716,30131000,2029.228142
956,Iran,Asia,1977-01-01,57.702,35480679,11888.59508
957,Swaziland,Africa,1987-01-01,57.678,779348,3984.839812
958,Zimbabwe,Africa,1977-01-01,57.674,6642107,685.5876821
959,Reunion,Africa,1962-01-01,57.666,358900,3173.72334
960,Brazil,Americas,1967-01-01,57.632,88049823,3429.864357
961,Sri Lanka,Asia,1952-01-01,57.593,7982342,1083.53203
962,Togo,Africa,2002-01-01,57.561,4977378,886.2205765
963,Ghana,Africa,1992-01-01,57.501,16278738,925.060154
964,Mongolia,Asia,1982-01-01,57.489,1756032,2000.603139
965,Nicaragua,Americas,1977-01-01,57.47,2554598,5486.371089
966,"Congo, Rep.",Africa,1987-01-01,57.47,2064095,4201.194937
967,Libya,Africa,1977-01-01,57.442,2721783,21951.21176
968,Honduras,Americas,1977-01-01,57.402,3055235,3203.208066
969,Oman,Asia,1977-01-01,57.367,1004533,11848.34392
970,Syria,Asia,1972-01-01,57.296,6701172,2571.423014
971,Madagascar,Africa,2002-01-01,57.286,16473477,894.6370822
972,Bolivia,Americas,1987-01-01,57.251,6156369,2753.69149
973,Costa Rica,Americas,1952-01-01,57.206,926317,2627.009471
974,Lesotho,Africa,1987-01-01,57.18,1599200,773.9932141
975,Iraq,Asia,2002-01-01,57.046,24001816,4390.717312
976,Turkey,Europe,1972-01-01,57.005,37492953,3450.69638
977,Iraq,Asia,1972-01-01,56.95,10061506,9576.037596
978,Togo,Africa,1987-01-01,56.941,3154264,1202.201361
979,Bahrain,Asia,1962-01-01,56.923,171863,12753.27514
980,Niger,Africa,2007-01-01,56.867,12894865,619.6768924
981,Gabon,Africa,2002-01-01,56.761,1299304,12521.71392
982,Cambodia,Asia,2002-01-01,56.752,12926707,896.2260153
983,Dominican Republic,Americas,1967-01-01,56.751,4049146,1653.723003
984,Gabon,Africa,2007-01-01,56.735,1454867,13206.48452
985,Benin,Africa,2007-01-01,56.728,8078314,1441.284873
986,El Salvador,Americas,1977-01-01,56.696,4282586,5138.922374
987,"Congo, Rep.",Africa,1982-01-01,56.695,1774735,4879.507522
988,Ecuador,Americas,1967-01-01,56.678,5432424,4579.074215
989,Haiti,Americas,1997-01-01,56.671,6913545,1341.726931
990,"Korea, Dem. Rep.",Asia,1962-01-01,56.656,10917494,1621.693598
991,El Salvador,Americas,1982-01-01,56.604,4474873,4098.344175
992,India,Asia,1982-01-01,56.596,708000000,855.7235377
993,Gabon,Africa,1982-01-01,56.564,753874,15113.36194
994,Cambodia,Asia,1997-01-01,56.534,11782962,734.28517
995,West Bank and Gaza,Asia,1972-01-01,56.532,1089572,3133.409277
996,Jordan,Asia,1972-01-01,56.528,1613551,2110.856309
997,Sao Tome and Principe,Africa,1972-01-01,56.48,76595,1532.985254
998,Namibia,Africa,1977-01-01,56.437,977026,3876.485958
999,"Congo, Rep.",Africa,1992-01-01,56.433,2409073,4016.239529
1000,Philippines,Asia,1967-01-01,56.393,35356600,1814.12743
1001,Sudan,Africa,2002-01-01,56.369,37090298,1993.398314
1002,Indonesia,Asia,1982-01-01,56.159,153343000,1516.872988
1003,Pakistan,Asia,1982-01-01,56.158,91462088,1443.429832
1004,Kenya,Africa,1977-01-01,56.155,14500404,1267.613204
1005,Mauritania,Africa,1987-01-01,56.145,1841240,1421.603576
1006,Chile,Americas,1957-01-01,56.074,7048426,4315.622723
1007,Thailand,Asia,1962-01-01,56.061,29263397,1002.199172
1008,Myanmar,Asia,1977-01-01,56.059,31528087,371
1009,Guatemala,Americas,1977-01-01,56.029,5703430,4879.992748
1010,Botswana,Africa,1972-01-01,56.024,619351,2263.611114
1011,Bangladesh,Asia,1992-01-01,56.018,113704579,837.8101643
1012,Guinea,Africa,2007-01-01,56.007,9947814,942.6542111
1013,Egypt,Africa,1982-01-01,56.006,45681811,3503.729636
1014,Lebanon,Asia,1952-01-01,55.928,1439529,4834.804067
1015,Gambia,Africa,1997-01-01,55.861,1235767,653.7301704
1016,El Salvador,Americas,1967-01-01,55.855,3232927,4358.595393
1017,Cambodia,Asia,1992-01-01,55.803,10150094,682.3031755
1018,Senegal,Africa,1987-01-01,55.769,7171347,1441.72072
1019,Vietnam,Asia,1977-01-01,55.764,50533506,713.5371196
1020,Malaysia,Asia,1962-01-01,55.737,8906385,2036.884944
1021,Morocco,Africa,1977-01-01,55.73,18396941,2370.619976
1022,Ghana,Africa,1987-01-01,55.729,14168101,847.0061135
1023,Nepal,Asia,1992-01-01,55.727,20326209,897.7403604
1024,Brazil,Americas,1962-01-01,55.665,76039390,3336.585802
1025,Zimbabwe,Africa,1972-01-01,55.635,5861135,799.3621758
1026,"Congo, Rep.",Africa,1977-01-01,55.625,1536769,3259.178978
1027,Tunisia,Africa,1972-01-01,55.602,5303507,2753.285994
1028,"Yemen, Rep.",Asia,1992-01-01,55.599,13367997,1879.496673
1029,Kuwait,Asia,1952-01-01,55.565,160000,108382.3529
1030,Swaziland,Africa,1982-01-01,55.561,649901,3895.384018
1031,Lesotho,Africa,1997-01-01,55.558,1982823,1186.147994
1032,South Africa,Africa,1977-01-01,55.527,27129932,8028.651439
1033,Mongolia,Asia,1977-01-01,55.491,1528000,1647.511665
1034,Togo,Africa,1982-01-01,55.471,2644765,1344.577953
1035,Peru,Americas,1972-01-01,55.448,13954700,5937.827283
1036,Sudan,Africa,1997-01-01,55.373,32160729,1632.210764
1037,"Congo, Rep.",Africa,2007-01-01,55.322,3800610,3632.557798
1038,"Korea, Rep.",Asia,1962-01-01,55.292,26420307,1536.344387
1039,Eritrea,Africa,2002-01-01,55.24,4414865,765.3500015
1040,Iran,Asia,1972-01-01,55.234,30614000,9613.818607
1041,Albania,Europe,1952-01-01,55.23,1282697,1601.056136
1042,Panama,Americas,1952-01-01,55.191,940080,2480.380334
1043,Mexico,Americas,1957-01-01,55.19,35015548,4131.546641
1044,Nicaragua,Americas,1972-01-01,55.151,2182908,4688.593267
1045,Colombia,Americas,1957-01-01,55.118,14485993,2323.805581
1046,Reunion,Africa,1957-01-01,55.09,308700,2769.451844
1047,Haiti,Americas,1992-01-01,55.089,6326682,1456.309517
1048,Venezuela,Americas,1952-01-01,55.088,5439568,7689.799761
1049,Lesotho,Africa,1982-01-01,55.078,1411807,797.2631074
1050,Cameroon,Africa,1987-01-01,54.985,10780667,2602.664206
1051,Madagascar,Africa,1997-01-01,54.978,14165114,986.2958956
1052,Comoros,Africa,1987-01-01,54.926,395114,1315.980812
1053,"Congo, Rep.",Africa,1972-01-01,54.907,1340458,3213.152683
1054,Djibouti,Africa,2007-01-01,54.791,496374,2082.481567
1055,Benin,Africa,1997-01-01,54.777,6066080,1232.975292
1056,Philippines,Asia,1962-01-01,54.757,30325264,1649.552153
1057,Chile,Americas,1952-01-01,54.745,6377619,3939.978789
1058,Cote d'Ivoire,Africa,1987-01-01,54.655,10761098,2156.956069
1059,Ecuador,Americas,1962-01-01,54.64,4681707,4086.114078
1060,Algeria,Africa,1972-01-01,54.518,14760787,4182.663766
1061,Niger,Africa,2002-01-01,54.496,11140655,601.0745012
1062,Mali,Africa,2007-01-01,54.467,12031795,1042.581557
1063,Iraq,Asia,1967-01-01,54.459,8519282,8931.459811
1064,Sao Tome and Principe,Africa,1967-01-01,54.425,70787,1384.840593
1065,Kenya,Africa,1997-01-01,54.407,28263827,1360.485021
1066,Benin,Africa,2002-01-01,54.406,7026113,1372.877931
1067,Turkey,Europe,1967-01-01,54.336,33411317,2826.356387
1068,Cameroon,Africa,1992-01-01,54.314,12467171,1793.163278
1069,Swaziland,Africa,1997-01-01,54.289,1054486,3876.76846
1070,India,Asia,1977-01-01,54.208,634000000,813.337323
1071,Kenya,Africa,2007-01-01,54.11,35610177,1463.249282
1072,"Korea, Dem. Rep.",Asia,1957-01-01,54.081,9411381,1571.134655
1073,Pakistan,Asia,1977-01-01,54.043,78152686,1175.921193
1074,Zimbabwe,Africa,1967-01-01,53.995,4995432,569.7950712
1075,Cote d'Ivoire,Africa,1982-01-01,53.983,9025951,2602.710169
1076,Benin,Africa,1992-01-01,53.919,4981671,1191.207681
1077,Cambodia,Asia,1987-01-01,53.914,8371791,683.8955732
1078,Saudi Arabia,Asia,1972-01-01,53.886,6472756,24837.42865
1079,Honduras,Americas,1972-01-01,53.884,2965146,2529.842345
1080,Namibia,Africa,1972-01-01,53.867,821782,3746.080948
1081,Bolivia,Americas,1982-01-01,53.859,5642224,3156.510452
1082,Bahrain,Asia,1957-01-01,53.832,138655,11635.79945
1083,Bosnia and Herzegovina,Europe,1952-01-01,53.82,2791000,973.5331948
1084,Mongolia,Asia,1972-01-01,53.754,1320500,1421.741975
1085,Ghana,Africa,1982-01-01,53.744,11400338,876.032569
1086,Guatemala,Americas,1972-01-01,53.738,5149581,4031.408271
1087,South Africa,Africa,1972-01-01,53.696,23935810,7765.962636
1088,Guinea,Africa,2002-01-01,53.676,8807818,945.5835837
1089,Syria,Asia,1967-01-01,53.655,5680812,1881.923632
1090,Haiti,Americas,1987-01-01,53.636,5756203,1823.015995
1091,Thailand,Asia,1957-01-01,53.63,25041917,793.5774148
1092,Mauritania,Africa,1982-01-01,53.599,1622136,1481.150189
1093,Kenya,Africa,1972-01-01,53.559,12044785,1222.359968
1094,Sudan,Africa,1992-01-01,53.556,28227588,1492.197043
1095,Dominican Republic,Americas,1962-01-01,53.459,3453434,1662.137359
1096,Eritrea,Africa,1997-01-01,53.378,4058319,913.47079
1097,Djibouti,Africa,2002-01-01,53.373,447416,1908.260867
1098,South Africa,Africa,2002-01-01,53.365,44433622,7710.946444
1099,Egypt,Africa,1977-01-01,53.319,38783863,2785.493582
1100,Botswana,Africa,1967-01-01,53.298,553541,1214.709294
1101,Brazil,Americas,1957-01-01,53.285,65551171,2487.365989
1102,Djibouti,Africa,1997-01-01,53.157,417908,1895.016984
1103,Myanmar,Asia,1972-01-01,53.07,28466390,357
1104,"Congo, Rep.",Africa,2002-01-01,52.97,3328795,3484.06197
1105,"Congo, Rep.",Africa,1997-01-01,52.962,2800947,3484.164376
1106,Cameroon,Africa,1982-01-01,52.961,9250831,2367.983282
1107,Ethiopia,Africa,2007-01-01,52.947,76511887,690.8055759
1108,Comoros,Africa,1982-01-01,52.933,348643,1267.100083
1109,"Yemen, Rep.",Asia,1987-01-01,52.922,11219340,1971.741538
1110,Namibia,Africa,2007-01-01,52.906,2055080,4811.060429
1111,Togo,Africa,1977-01-01,52.887,2308582,1532.776998
1112,Morocco,Africa,1972-01-01,52.862,16660670,1930.194975
1113,Bangladesh,Asia,1987-01-01,52.819,103764241,751.9794035
1114,Gabon,Africa,1977-01-01,52.79,706367,21745.57328
1115,Libya,Africa,1972-01-01,52.773,2183877,21011.49721
1116,Reunion,Africa,1952-01-01,52.724,257700,2718.885295
1117,Indonesia,Asia,1977-01-01,52.702,136725000,1382.702056
1118,"Korea, Rep.",Asia,1957-01-01,52.681,22611552,1487.593537
1119,Gambia,Africa,1992-01-01,52.644,1025384,665.6244126
1120,Botswana,Africa,1997-01-01,52.556,1536536,8647.142313
1121,Nepal,Asia,1987-01-01,52.537,17917180,775.6324501
1122,Swaziland,Africa,1977-01-01,52.537,551425,3781.410618
1123,Tanzania,Africa,2007-01-01,52.517,38139640,1107.482182
1124,Iran,Asia,1967-01-01,52.469,26538000,5906.731805
1125,Senegal,Africa,1982-01-01,52.379,6147783,1518.479984
1126,Cote d'Ivoire,Africa,1977-01-01,52.374,7459574,2517.736547
1127,Zimbabwe,Africa,1962-01-01,52.358,4277736,527.2721818
1128,Benin,Africa,1987-01-01,52.337,4243788,1225.85601
1129,El Salvador,Americas,1962-01-01,52.307,2747687,3776.803627
1130,Burkina Faso,Africa,2007-01-01,52.295,14326203,1217.032994
1131,Madagascar,Africa,1992-01-01,52.214,12210395,1040.67619
1132,Lesotho,Africa,1977-01-01,52.208,1251524,745.3695408
1133,Cameroon,Africa,1997-01-01,52.199,14195809,1694.337469
1134,Oman,Asia,1972-01-01,52.143,829050,10618.03855
1135,Malaysia,Asia,1957-01-01,52.102,7739235,1810.066992
1136,Turkey,Europe,1962-01-01,52.098,29788695,2322.869908
1137,Tunisia,Africa,1967-01-01,52.053,4786986,1932.360167
1138,Cote d'Ivoire,Africa,1992-01-01,52.044,12772596,1648.073791
1139,"Congo, Rep.",Africa,1967-01-01,52.04,1179760,2677.939642
1140,Pakistan,Asia,1972-01-01,51.929,69325921,1049.938981
1141,South Africa,Africa,1967-01-01,51.927,20997321,7114.477971
1142,Sao Tome and Principe,Africa,1962-01-01,51.893,65345,1071.551119
1143,Nicaragua,Americas,1967-01-01,51.884,1865490,4643.393534
1144,Zambia,Africa,1982-01-01,51.821,6100407,1408.678565
1145,Mali,Africa,2002-01-01,51.818,10580176,951.4097518
1146,Ghana,Africa,1977-01-01,51.756,10538093,993.2239571
1147,Sudan,Africa,1987-01-01,51.744,24725960,1507.819159
1148,Chad,Africa,1992-01-01,51.724,6429417,1058.0643
1149,West Bank and Gaza,Asia,1967-01-01,51.631,1142636,2649.715007
1150,Jordan,Asia,1967-01-01,51.629,1255058,2741.796252
1151,Djibouti,Africa,1992-01-01,51.604,384156,2377.156192
1152,Equatorial Guinea,Africa,2007-01-01,51.579,551201,12154.08975
1153,Chad,Africa,1997-01-01,51.573,7562011,1004.961353
1154,Uganda,Africa,2007-01-01,51.542,29170398,1056.380121
1155,Tanzania,Africa,1987-01-01,51.535,23040630,831.8220794
1156,Botswana,Africa,1962-01-01,51.52,512764,983.6539764
1157,Uganda,Africa,1987-01-01,51.509,15283050,617.7244065
1158,Namibia,Africa,2002-01-01,51.479,1972153,4072.324751
1159,Haiti,Americas,1982-01-01,51.461,5198399,2011.159549
1160,Iraq,Asia,1962-01-01,51.457,7240260,8341.737815
1161,Guinea,Africa,1997-01-01,51.455,8048834,869.4497668
1162,Peru,Americas,1967-01-01,51.445,12132200,5788.09333
1163,Algeria,Africa,1967-01-01,51.407,12760499,3246.991771
1164,Zambia,Africa,1977-01-01,51.386,5216550,1588.688299
1165,Ecuador,Americas,1957-01-01,51.356,4058385,3780.546651
1166,Philippines,Asia,1957-01-01,51.334,26072194,1547.944844
1167,Niger,Africa,1997-01-01,51.313,9666252,580.3052092
1168,Mongolia,Asia,1967-01-01,51.253,1149500,1226.04113
1169,Namibia,Africa,1967-01-01,51.159,706640,3793.694753
1170,Egypt,Africa,1972-01-01,51.137,34807417,2024.008147
1171,Chad,Africa,1987-01-01,51.051,5498955,952.386129
1172,Uganda,Africa,1972-01-01,51.016,10190285,950.735869
1173,Kenya,Africa,2002-01-01,50.992,31386842,1287.514732
1174,Mauritius,Africa,1952-01-01,50.986,516556,1967.955707
1175,Cambodia,Asia,1982-01-01,50.957,7272485,624.4754784
1176,Comoros,Africa,1977-01-01,50.939,304739,1172.603047
1177,Bahrain,Asia,1952-01-01,50.939,120447,9867.084765
1178,Honduras,Americas,1967-01-01,50.924,2500689,2538.269358
1179,Brazil,Americas,1952-01-01,50.917,56602560,2108.944355
1180,Benin,Africa,1982-01-01,50.904,3641603,1277.897616
1181,Mauritania,Africa,1977-01-01,50.852,1456688,1497.492223
1182,Thailand,Asia,1952-01-01,50.848,21289402,757.7974177
1183,Zambia,Africa,1987-01-01,50.821,7272406,1213.315116
1184,Mexico,Americas,1952-01-01,50.789,30144317,3478.125529
1185,Botswana,Africa,2007-01-01,50.728,1639131,12569.85177
1186,Ethiopia,Africa,2002-01-01,50.725,67946797,530.0535319
1187,Kenya,Africa,1967-01-01,50.654,10191512,1056.736457
1188,India,Asia,1972-01-01,50.651,567000000,724.032527
1189,Chad,Africa,2007-01-01,50.651,10238807,1704.063724
1190,Burkina Faso,Africa,2002-01-01,50.65,12251209,1037.645221
1191,Colombia,Americas,1952-01-01,50.643,12350771,2144.115096
1192,Tanzania,Africa,1982-01-01,50.608,19844382,874.2426069
1193,China,Asia,1957-01-01,50.54896,637408000,575.9870009
1194,Chad,Africa,2002-01-01,50.525,8835739,1156.18186
1195,Central African Republic,Africa,1987-01-01,50.485,2840009,844.8763504
1196,Zimbabwe,Africa,1957-01-01,50.469,3646340,518.7642681
1197,Tanzania,Africa,1992-01-01,50.44,26605473,825.682454
1198,Cameroon,Africa,2007-01-01,50.43,17696293,2042.09524
1199,Uganda,Africa,1977-01-01,50.35,11457758,843.7331372
1200,Sudan,Africa,1982-01-01,50.338,20367053,1895.544073
1201,Morocco,Africa,1967-01-01,50.335,14770296,1711.04477
1202,Burkina Faso,Africa,1997-01-01,50.324,10352843,946.2949618
1203,Syria,Asia,1962-01-01,50.305,4834621,2193.037133
1204,Burkina Faso,Africa,1992-01-01,50.26,8878303,931.7527731
1205,Vietnam,Asia,1972-01-01,50.254,44655014,699.5016441
1206,Libya,Africa,1967-01-01,50.227,1759224,18772.75169
1207,Zambia,Africa,1972-01-01,50.107,4506497,1773.498265
1208,"Korea, Dem. Rep.",Asia,1952-01-01,50.056,8865488,1088.277758
1209,Djibouti,Africa,1987-01-01,50.04,311025,2880.102568
1210,Bolivia,Americas,1977-01-01,50.023,5079716,3548.097832
1211,Guatemala,Americas,1967-01-01,50.016,4690773,3242.531147
1212,Bangladesh,Asia,1982-01-01,50.009,93074406,676.9818656
1213,Eritrea,Africa,1992-01-01,49.991,3668440,582.8585102
1214,South Africa,Africa,1962-01-01,49.951,18356657,5768.729717
1215,Haiti,Americas,1977-01-01,49.923,4908554,1874.298931
1216,Tanzania,Africa,1977-01-01,49.919,17129565,962.4922932
1217,Mali,Africa,1997-01-01,49.903,9384984,790.2579846
1218,Saudi Arabia,Asia,1967-01-01,49.901,5618198,16903.04886
1219,Ghana,Africa,1972-01-01,49.875,9354120,1178.223708
1220,Cameroon,Africa,2002-01-01,49.856,15929988,1934.011449
1221,Uganda,Africa,1982-01-01,49.849,12939400,682.2662268
1222,Dominican Republic,Americas,1957-01-01,49.828,2923186,1544.402995
1223,Cote d'Ivoire,Africa,1972-01-01,49.801,6071696,2378.201111
1224,Pakistan,Asia,1967-01-01,49.8,60641899,942.4082588
1225,Lesotho,Africa,1972-01-01,49.767,1116779,496.5815922
1226,Togo,Africa,1972-01-01,49.759,2056351,1649.660188
1227,Tanzania,Africa,2002-01-01,49.651,34593779,899.0742111
1228,Botswana,Africa,1957-01-01,49.618,474639,918.2325349
1229,Nepal,Asia,1982-01-01,49.594,15796314,718.3730947
1230,Burundi,Africa,2007-01-01,49.58,8390505,430.0706916
1231,Tunisia,Africa,1962-01-01,49.579,4286552,1660.30321
1232,Burkina Faso,Africa,1987-01-01,49.557,7586551,912.0631417
1233,Swaziland,Africa,1972-01-01,49.552,480105,3364.836625
1234,Chad,Africa,1982-01-01,49.517,4875118,797.9081006
1235,Malawi,Africa,1992-01-01,49.42,10014249,563.2000145
1236,Ethiopia,Africa,1997-01-01,49.402,59861301,515.8894013
1237,Central African Republic,Africa,1992-01-01,49.396,3265124,747.9055252
1238,Myanmar,Asia,1967-01-01,49.379,25870271,349
1239,Cameroon,Africa,1977-01-01,49.355,7959865,1783.432873
1240,Madagascar,Africa,1987-01-01,49.35,10568642,1155.441948
1241,Equatorial Guinea,Africa,2002-01-01,49.348,495627,7703.4959
1242,South Africa,Africa,2007-01-01,49.339,43997828,9269.657808
1243,Iran,Asia,1962-01-01,49.325,22874000,4187.329802
1244,Egypt,Africa,1967-01-01,49.293,31681188,1814.880728
1245,Gambia,Africa,1987-01-01,49.265,848406,611.6588611
1246,Indonesia,Asia,1972-01-01,49.203,121282000,1111.107907
1247,Benin,Africa,1977-01-01,49.19,3168267,1029.161251
1248,"Yemen, Rep.",Asia,1982-01-01,49.113,9657618,1977.55701
1249,Peru,Americas,1962-01-01,49.096,10516500,4957.037982
1250,Madagascar,Africa,1982-01-01,48.969,9171477,1302.878658
1251,Sao Tome and Principe,Africa,1957-01-01,48.945,61325,860.7369026
1252,Comoros,Africa,1972-01-01,48.944,250027,1937.577675
1253,Senegal,Africa,1977-01-01,48.879,5260855,1561.769116
1254,Uganda,Africa,1992-01-01,48.825,18252190,644.1707969
1255,Djibouti,Africa,1982-01-01,48.812,305991,2879.468067
1256,Gabon,Africa,1972-01-01,48.69,537977,11401.94841
1257,Nicaragua,Americas,1962-01-01,48.632,1590597,3634.364406
1258,Guinea,Africa,1992-01-01,48.576,6990574,794.3484384
1259,El Salvador,Americas,1957-01-01,48.57,2355805,3421.523218
1260,Lesotho,Africa,1967-01-01,48.492,996380,498.6390265
1261,Tanzania,Africa,1997-01-01,48.466,30686889,789.1862231
1262,Malaysia,Asia,1952-01-01,48.463,6748378,1831.132894
1263,Zimbabwe,Africa,1952-01-01,48.451,3080907,406.8841148
1264,Mauritania,Africa,1972-01-01,48.437,1332786,1586.851781
1265,Iraq,Asia,1957-01-01,48.437,6248643,6229.333562
1266,"Congo, Rep.",Africa,1962-01-01,48.435,1047924,2464.783157
1267,Mali,Africa,1992-01-01,48.388,8416215,739.014375
1268,Namibia,Africa,1962-01-01,48.386,621392,3173.215595
1269,Ecuador,Americas,1952-01-01,48.357,3548753,3522.110717
1270,Cote d'Ivoire,Africa,2007-01-01,48.328,18013409,1544.750112
1271,Algeria,Africa,1962-01-01,48.303,11000948,2550.81688
1272,Malawi,Africa,2007-01-01,48.303,13327079,759.3499101
1273,Central African Republic,Africa,1982-01-01,48.295,2476971,956.7529907
